panel_type,panel_id,series_id,roc_auc,pr_auc,balanced_accuracy
random_robust_25_gene_panel,64,GSE53845,1.0,1.0,0.7125
random_robust_25_gene_panel,64,GSE92592,0.9,0.9025641025641026,0.9
random_robust_25_gene_panel,65,GSE110147,1.0,1.0,0.7727272727272727
random_robust_25_gene_panel,65,GSE150910,0.8509755867659534,0.7774516444645141,0.8446601941747574
random_robust_25_gene_panel,65,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,65,GSE92592,0.8947368421052633,0.8333333333333334,0.8947368421052632
random_robust_25_gene_panel,66,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,66,GSE150910,0.6699971722122726,0.6030381778306041,0.6699029126213593
random_robust_25_gene_panel,66,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,66,GSE92592,0.6052631578947368,0.5714285714285714,0.5789473684210527
random_robust_25_gene_panel,67,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,67,GSE150910,0.8846262607220285,0.8737179627044704,0.8155339805825244
random_robust_25_gene_panel,67,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,67,GSE92592,0.975,0.9756410256410256,0.95
random_robust_25_gene_panel,68,GSE110147,0.987603305785124,0.9941460055096418,0.7272727272727273
random_robust_25_gene_panel,68,GSE150910,0.6796116504854369,0.6796116504854368,0.5388349514563107
random_robust_25_gene_panel,68,GSE53845,1.0,1.0,0.9875
random_robust_25_gene_panel,68,GSE92592,0.825,0.8294871794871794,0.775
random_robust_25_gene_panel,69,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,69,GSE150910,0.8513526251296069,0.7752743622296822,0.8446601941747574
random_robust_25_gene_panel,69,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,69,GSE92592,0.975,0.9756410256410256,0.95
random_robust_25_gene_panel,70,GSE110147,1.0,1.0,0.5909090909090909
random_robust_25_gene_panel,70,GSE150910,0.9050805919502308,0.8549513950155627,0.8932038834951457
random_robust_25_gene_panel,70,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,70,GSE92592,1.0,1.0,1.0
random_robust_25_gene_panel,71,GSE110147,1.0,1.0,0.5909090909090909
random_robust_25_gene_panel,71,GSE150910,0.8772268828353285,0.8404350339233811,0.8786407766990292
random_robust_25_gene_panel,71,GSE53845,0.996875,0.999390243902439,0.5
random_robust_25_gene_panel,71,GSE92592,0.9736842105263158,0.9523809523809524,0.9736842105263156
random_robust_25_gene_panel,72,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,72,GSE150910,0.9195965689508908,0.8878173428044364,0.9077669902912622
random_robust_25_gene_panel,72,GSE53845,0.996875,0.999390243902439,0.775
random_robust_25_gene_panel,72,GSE92592,0.8973684210526316,0.8770864756158874,0.8736842105263158
random_robust_25_gene_panel,73,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,73,GSE150910,0.8237345649919882,0.8163467288247008,0.6796116504854369
random_robust_25_gene_panel,73,GSE53845,1.0,1.0,1.0
random_robust_25_gene_panel,73,GSE92592,0.9,0.9025641025641026,0.9
random_robust_25_gene_panel,74,GSE110147,1.0,1.0,0.5454545454545454
random_robust_25_gene_panel,74,GSE150910,0.8874069186539731,0.8742200288056958,0.8058252427184467
random_robust_25_gene_panel,74,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,74,GSE92592,0.825,0.8294871794871794,0.75
random_robust_25_gene_panel,75,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,75,GSE150910,0.8456970496748044,0.7705923455943632,0.825242718446602
random_robust_25_gene_panel,75,GSE53845,1.0,1.0,0.7875
random_robust_25_gene_panel,75,GSE92592,0.9723684210526315,0.9501190476190476,0.9486842105263158
random_robust_25_gene_panel,76,GSE110147,1.0,1.0,0.7272727272727273
random_robust_25_gene_panel,76,GSE150910,0.8661985106984637,0.8059725048800088,0.8495145631067962
random_robust_25_gene_panel,76,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,76,GSE92592,0.95,0.9512820512820512,0.925
random_robust_25_gene_panel,77,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,77,GSE150910,0.5485436893203883,0.5255102040816326,0.5388349514563107
random_robust_25_gene_panel,77,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,77,GSE92592,0.5,0.5128205128205128,0.5
random_robust_25_gene_panel,78,GSE110147,1.0,1.0,0.8636363636363636
random_robust_25_gene_panel,78,GSE150910,0.7389009331699501,0.6575578931854609,0.7330097087378641
random_robust_25_gene_panel,78,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,78,GSE92592,0.7894736842105263,0.7142857142857143,0.7894736842105263
random_robust_25_gene_panel,79,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,79,GSE150910,0.8180789895371855,0.7368087800759814,0.8106796116504855
random_robust_25_gene_panel,79,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,79,GSE92592,0.9171052631578948,0.8639328063241107,0.8960526315789473
random_robust_25_gene_panel,80,GSE110147,1.0,1.0,0.8636363636363636
random_robust_25_gene_panel,80,GSE150910,0.9599396738618152,0.9423526494482146,0.9174757281553398
random_robust_25_gene_panel,80,GSE53845,1.0,1.0,0.6375
random_robust_25_gene_panel,80,GSE92592,0.9736842105263158,0.9523809523809524,0.9736842105263156
random_robust_25_gene_panel,81,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,81,GSE150910,0.7958337260816288,0.711215968497522,0.7912621359223301
random_robust_25_gene_panel,81,GSE53845,0.99375,0.9988095238095238,0.5
random_robust_25_gene_panel,81,GSE92592,0.5263157894736843,0.5263157894736842,0.5263157894736842
random_robust_25_gene_panel,82,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,82,GSE150910,0.7189178998963145,0.7250037762874879,0.5825242718446602
random_robust_25_gene_panel,82,GSE53845,0.996875,0.999390243902439,0.5
random_robust_25_gene_panel,82,GSE92592,0.9473684210526316,0.9512820512820512,0.925
random_robust_25_gene_panel,83,GSE110147,1.0,1.0,0.8181818181818181
random_robust_25_gene_panel,83,GSE150910,0.635969459892544,0.5791544017411958,0.6310679611650485
random_robust_25_gene_panel,83,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,83,GSE92592,0.631578947368421,0.5882352941176471,0.6052631578947368
random_robust_25_gene_panel,84,GSE110147,1.0,1.0,0.9545454545454546
random_robust_25_gene_panel,84,GSE150910,0.8604958054482044,0.814030192835182,0.8495145631067961
random_robust_25_gene_panel,84,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,84,GSE92592,0.9210526315789472,0.8695652173913043,0.8947368421052632
random_robust_25_gene_panel,85,GSE110147,1.0,1.0,0.6363636363636364
