feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
HIF3A,112,0.32,0.14,0.34,0.48,0.18,0.7,0.16,0.24,7
PAPSS2,111,0.3171428571428571,0.2,0.34,0.44,0.22,0.72,0.08,0.22,7
PROK2,111,0.3171428571428571,0.18,0.28,0.44,0.26,0.66,0.12,0.28,7
BTNL9,108,0.30857142857142855,0.12,0.32,0.44,0.18,0.7,0.14,0.26,7
FGF14,108,0.30857142857142855,0.2,0.32,0.42,0.16,0.64,0.2,0.22,7
GPR4,108,0.30857142857142855,0.2,0.32,0.44,0.18,0.62,0.16,0.24,7
FMO5,105,0.3,0.16,0.3,0.42,0.14,0.68,0.18,0.22,7
LRRN1,94,0.26857142857142857,0.16,0.32,0.42,0.08,0.6,0.1,0.2,7
PDGFRA,91,0.26,0.12,0.3,0.44,0.1,0.58,0.1,0.18,7
LTBP1,89,0.2542857142857143,0.2,0.28,0.4,0.1,0.58,0.08,0.14,7
ACVRL1,88,0.25142857142857145,0.16,0.28,0.42,0.14,0.58,0.06,0.12,7
OGN,87,0.24857142857142858,0.16,0.28,0.42,0.12,0.54,0.1,0.12,7
S1PR1,85,0.24285714285714285,0.12,0.3,0.42,0.1,0.6,0.06,0.1,7
MFSD2A,83,0.23714285714285716,0.14,0.26,0.4,0.06,0.6,0.06,0.14,7
CLEC4E,82,0.2342857142857143,0.12,0.28,0.42,0.08,0.58,0.06,0.1,7
FLT1,81,0.23142857142857143,0.12,0.28,0.42,0.06,0.56,0.06,0.12,7
PRSS12,80,0.22857142857142856,0.1,0.3,0.4,0.08,0.52,0.06,0.14,7
GOLM1,77,0.22,0.12,0.3,0.4,0.04,0.56,0.06,0.06,7
TRIM2,75,0.21428571428571427,0.1,0.26,0.42,0.06,0.54,0.04,0.08,7
SULF1,73,0.20857142857142857,0.12,0.28,0.4,0.02,0.54,0.04,0.06,7
CRTAC1,73,0.20857142857142857,0.1,0.28,0.4,0.04,0.6,0.0,0.04,6
CDH2,71,0.20285714285714285,0.12,0.26,0.42,0.02,0.52,0.02,0.06,7
FCN3,71,0.20285714285714285,0.1,0.26,0.4,0.02,0.56,0.02,0.06,7
CP,70,0.2,0.1,0.28,0.4,0.02,0.5,0.04,0.06,7
GLT8D2,70,0.2,0.14,0.26,0.34,0.06,0.48,0.06,0.06,7
HPSE2,69,0.19714285714285715,0.12,0.26,0.4,0.04,0.52,0.02,0.02,7
