series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-129-star_st,-0.176135189962264,0.800107602564103,-2.04304330641354,0.0427240673354169,0.135468389561771,-4.83993390167964
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-935_st,0.143115854867924,0.781732452564103,2.04177625930889,0.0428512322790182,0.135632810781216,-4.84244433788076
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-82_st,0.074097853924528,0.304631355769231,2.03948175446382,0.0430823384789999,0.136125072983647,-4.84698674878714
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-373-star_st,0.0897094715471698,0.323492281794872,2.03743665084688,0.0432892201625176,0.136344141993696,-4.85103134225386
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-296-3p_st,0.13485971291283,0.38854844549359,2.03729992762119,0.0433030811884477,0.136344141993696,-4.85130160209036
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-34b_st,0.181260186603774,0.808554852948718,2.03652349185448,0.0433818682089083,0.136353830094666,-4.85283605118474
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,mgU6-53B_st,0.0607774603773585,0.325089105128205,2.03502050606489,0.0435347276662957,0.136595896388499,-4.85580478612621
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-518a-3p_st,0.0941208824781131,0.292716462185897,2.03219664888066,0.0438231672550471,0.1372617812632,-4.86137691983076
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U71c_x_st,-0.0631055344150942,0.433829556410256,-2.02949532530555,0.0441006138920845,0.137890981978549,-4.86670040046359
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-52-2_st,0.0510775864433961,0.178454259147436,2.02095418967927,0.04498772325852,0.140080952080806,-4.88348817454344
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000206650_st,0.0647664327698115,0.257700500128205,2.0205123613654,0.045034023289404,0.140080952080806,-4.88435477010899
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212278_st,0.0767406354716981,0.514749217948718,2.02050920846208,0.0450343538338626,0.140080952080806,-4.88436095352131
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212610_st,0.0627529750577357,0.30948668300641,2.01916025152354,0.0451759655477546,0.140279161985355,-4.88700566169944
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-295_st,-0.0828311316037736,0.353844078012821,-2.01225971289623,0.0459063172143998,0.142301682105222,-4.90050835147605
