stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,gene_set,score_label,combined_score
9606.ENSP00000253354,9606.ENSP00000292641,BPIFB1,SCGB3A1,9606,0.727,0.0,0.0,0.0,0.432,0.0,0.0,0.539,robust_mrna_strict,medium_confidence,0.727
9606.ENSP00000306410,9606.ENSP00000367815,ARMC4,DNAAF1,9606,0.726,0.0,0.0,0.0,0.074,0.045,0.0,0.715,robust_mrna_strict,medium_confidence,0.726
9606.ENSP00000252242,9606.ENSP00000264012,KRT5,CDH3,9606,0.724,0.0,0.0,0.0,0.25,0.0,0.0,0.648,robust_mrna_strict,medium_confidence,0.724
9606.ENSP00000337804,9606.ENSP00000480538,SPAG17,DNAI1,9606,0.724,0.0,0.0,0.0,0.635,0.0,0.0,0.275,robust_mrna_strict,medium_confidence,0.724
9606.ENSP00000222573,9606.ENSP00000297268,ITGB8,COL1A2,9606,0.723,0.0,0.0,0.0,0.0,0.045,0.65,0.238,robust_mrna_strict,medium_confidence,0.723
9606.ENSP00000304845,9606.ENSP00000420269,UGT1A1,ADH7,9606,0.722,0.0,0.0,0.0,0.12,0.0,0.65,0.17,robust_mrna_strict,medium_confidence,0.722
9606.ENSP00000222573,9606.ENSP00000295550,ITGB8,COL6A3,9606,0.722,0.0,0.0,0.0,0.0,0.045,0.65,0.236,robust_mrna_strict,medium_confidence,0.722
9606.ENSP00000267584,9606.ENSP00000430075,AK7,AMPD1,9606,0.721,0.0,0.0,0.0,0.057,0.0,0.65,0.224,robust_mrna_strict,medium_confidence,0.721
9606.ENSP00000291536,9606.ENSP00000377197,RSPH1,HYDIN,9606,0.72,0.0,0.0,0.0,0.075,0.094,0.0,0.693,robust_mrna_strict,medium_confidence,0.72
9606.ENSP00000260227,9606.ENSP00000269141,MMP7,CDH2,9606,0.72,0.0,0.0,0.0,0.042,0.06,0.0,0.715,robust_mrna_strict,medium_confidence,0.72
9606.ENSP00000306410,9606.ENSP00000341346,ARMC4,TEKT1,9606,0.719,0.0,0.0,0.0,0.257,0.507,0.0,0.294,robust_mrna_strict,medium_confidence,0.719
9606.ENSP00000225964,9606.ENSP00000364694,COL1A1,ASPN,9606,0.719,0.0,0.0,0.0,0.265,0.091,0.0,0.613,robust_mrna_strict,medium_confidence,0.719
9606.ENSP00000225964,9606.ENSP00000238682,COL1A1,TGFB3,9606,0.719,0.0,0.0,0.0,0.179,0.067,0.0,0.663,robust_mrna_strict,medium_confidence,0.719
