series_id,group,broad_celltype,fine_celltype,gene_symbol,cells,mean_norm_count_per_10k,log1p_mean_norm,detected_cells,detection_fraction
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,FZD2,214,0.0,0.0,0,0.0
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,FZD5,214,0.0030946339048090613,0.003089855381289076,1,0.004672897196261682
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,IL1B,214,0.025433473093899466,0.02511542377253879,4,0.018691588785046728
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,IL1R1,214,0.2905504451538803,0.2550688290319868,35,0.16355140186915887
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,ITGA1,214,0.08607922419760564,0.08257416930918883,19,0.08878504672897196
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,ITGA2,214,0.8688828450668825,0.6253408432914596,88,0.411214953271028
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,ITGA4,214,0.2874537894103827,0.25266646119153985,41,0.19158878504672897
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,ITGAV,214,0.5393617347043379,0.43136787252989267,85,0.397196261682243
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,ITGB1,214,0.5613358333632684,0.4455417582808114,78,0.3644859813084112
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,LEF1,214,0.1319902085638454,0.12397733006500072,22,0.102803738317757
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,LRP6,214,0.18003819777114466,0.16554680894613957,28,0.1308411214953271
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,POSTN,214,0.0071857561068148276,0.007160061577721178,1,0.004672897196261682
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,PTGFRN,214,0.10114954689348764,0.09635467675785578,18,0.08411214953271028
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,SPP1,214,0.42153763487013773,0.35173912722108497,56,0.2616822429906542
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TCF7L2,214,2.040251383621751,1.111940203980176,143,0.6682242990654206
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TGFB1,214,0.2954286358596501,0.25884163332723653,42,0.19626168224299065
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TGFBR1,214,0.07826242988449938,0.07535088431104164,15,0.07009345794392523
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TGFBR2,214,0.6636265188627135,0.50899986940799,83,0.3878504672897196
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TNF,214,0.005924058311690774,0.005906580072353361,1,0.004672897196261682
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TNFRSF12A,214,0.09858037431716951,0.0940187775006304,15,0.07009345794392523
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TNFRSF1A,214,0.5783634419166301,0.45638851397592256,61,0.2850467289719626
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TNFSF12,214,0.06349776590827665,0.061563254958512205,6,0.028037383177570093
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,TNIK,214,0.3060393156589394,0.2669991342747404,34,0.1588785046728972
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,WNT5A,214,0.009039426580833437,0.008998815514741002,2,0.009345794392523364
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,WNT7B,214,0.2104403868372598,0.19098424945655856,37,0.17289719626168223
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CCL2,154,0.1494783810732138,0.1393082578004076,13,0.08441558441558442
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CCR2,154,0.03344868774034701,0.03290144988956805,5,0.032467532467532464
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CD24,154,0.008437508437508437,0.008402111631056487,1,0.006493506493506494
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CD44,154,7.16545527764772,2.0999124845308335,133,0.8636363636363636
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CD74,154,93.27771672669836,4.546244859771894,154,1.0
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CDH3,154,0.03754211758632361,0.03685456756267726,6,0.03896103896103896
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,COL14A1,154,0.038743973235067564,0.03801226523092309,4,0.025974025974025976
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,COL1A1,154,0.18878694702027685,0.17293341495832243,17,0.11038961038961038
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,COL3A1,154,0.09131993059201166,0.08738790913518074,16,0.1038961038961039
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CTNNB1,154,3.9917900188047306,1.607794566641712,139,0.9025974025974026
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CXCL12,154,0.01298102667140564,0.012897495250474967,2,0.012987012987012988
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,CXCR4,154,6.101680963770038,1.9603315114856872,138,0.8961038961038961
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,FZD1,154,0.010904543525336421,0.010845517702680411,3,0.01948051948051948
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,FZD2,154,0.010069382447002792,0.010019023985822793,2,0.012987012987012988
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,FZD5,154,0.02442907227378207,0.024135454747037422,4,0.025974025974025976
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,IL1B,154,0.5714938056105091,0.45202663554266365,20,0.12987012987012986
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,IL1R1,154,1.7874232148911022,1.0251175901794256,94,0.6103896103896104
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,ITGA1,154,0.04750849661491964,0.04641448410815137,9,0.05844155844155844
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,ITGA2,154,0.03512118189673516,0.03451850382173896,5,0.032467532467532464
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,ITGA4,154,0.6488574314079472,0.5000825822339339,47,0.3051948051948052
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,ITGAV,154,1.439985791767043,0.8919922162418626,90,0.5844155844155844
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,ITGB1,154,1.1115039627824825,0.7474004721518726,81,0.525974025974026
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,LEF1,154,0.02966845516928117,0.02923686223925877,4,0.025974025974025976
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,LRP6,154,0.2926343541818814,0.256682271075007,28,0.18181818181818182
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,POSTN,154,0.0059600793882574514,0.005942388373532877,1,0.006493506493506494
