sample_id,group,label,series_id,macrophage_myeloid_score,macrophage_myeloid_markers_found,t_cell_score,t_cell_markers_found,b_cell_score,b_cell_markers_found,fibroblast_matrix_score,fibroblast_matrix_markers_found,epithelial_ciliary_score,epithelial_ciliary_markers_found,endothelial_score,endothelial_markers_found,wnt_tnik_axis_score,wnt_tnik_axis_markers_found
GSM806310,IPF,1,GSE32537,-1.9236715261152215,11,-0.6657953329875452,7,-0.05176990320116334,4,0.6462228941504478,10,1.2481896331461868,10,-0.8169685568104077,6,0.02363967235751418,9
GSM806313,IPF,1,GSE32537,-0.09591501672036,11,0.31168914517259083,7,0.30069769672097135,4,0.41408049427924914,10,-0.0014504049749003989,10,-0.2171783934640651,6,0.06520535711160223,9
GSM806314,IPF,1,GSE32537,-0.9121284767511704,11,-0.16871848393353162,7,1.021986927912495,4,-0.030261963633685857,10,1.0759664904827275,10,-1.2959334274106022,6,-0.06856328001612638,9
GSM806315,IPF,1,GSE32537,-1.165730682468503,11,0.26303343694527115,7,1.4090948634673066,4,1.1558686653252233,10,0.3929755973536489,10,-0.499177474290923,6,-0.12374493218191887,9
GSM806316,IPF,1,GSE32537,-0.46241165147893887,11,-0.6688486768629858,7,0.2281132366127349,4,-0.6254021566618133,10,1.98949892705031,10,-2.0707299301003794,6,-0.1562920084646848,9
GSM806318,IPF,1,GSE32537,-1.0328666042013575,11,-0.28685109301215694,7,0.3228549859263418,4,0.8880985974888086,10,-0.2142688647234158,10,-0.5148724285822357,6,0.15621844336001486,9
GSM806320,IPF,1,GSE32537,0.1649127555293268,11,-0.016532924399698383,7,-0.21741622747299683,4,0.7123103857647506,10,-0.19153420922514908,10,0.09635253456124558,6,0.17758525668342043,9
GSM806321,IPF,1,GSE32537,-0.676645573048959,11,-0.3413119342099436,7,0.3542678254731638,4,0.6147378474997514,10,0.623880643872186,10,-0.2146772007751844,6,0.386429869242157,9
GSM806322,IPF,1,GSE32537,-0.6550462479607253,11,0.11488057223481926,7,0.760908327975174,4,-0.9724829959944843,10,0.38778627078415806,10,0.1526676741497502,6,0.19929443440941993,9
GSM806324,IPF,1,GSE32537,0.16863260822291617,11,-0.022441630726189772,7,-0.5741676664521151,4,0.46927103298516143,10,0.6603803424238627,10,-0.7802964334009429,6,0.38973460715758423,9
GSM806327,IPF,1,GSE32537,-0.05653238638952504,11,0.18625491208686418,7,-0.5411489743101369,4,0.2778705718439027,10,0.48540723273684894,10,0.20462812334185634,6,0.14171700920366553,9
GSM806329,IPF,1,GSE32537,0.44341434983550626,11,0.030106737023085053,7,-0.6479292974724146,4,0.4645963576966083,10,0.46226737497520604,10,-0.3889851385632694,6,0.6197935961834492,9
GSM806330,IPF,1,GSE32537,-0.12650794763773723,11,0.08253410036205568,7,-1.4148073943741049,4,-0.24498615832299256,10,-0.3230416513117936,10,1.1887906888090798,6,0.08737035161254646,9
GSM806332,IPF,1,GSE32537,-0.8100863779266644,11,-0.08613043448194643,7,0.08504104302518226,4,0.6853717715679896,10,0.727704127598119,10,-0.5360317801440209,6,0.19268874289820126,9
GSM806333,IPF,1,GSE32537,-0.9921194392593612,11,-0.8175593925782939,7,1.2149954725757348,4,0.19499063082012186,10,0.8315281442165547,10,-0.8285613936768265,6,-0.32198413303071644,9
GSM806335,IPF,1,GSE32537,-2.0890716218145706,11,-0.6597406338434123,7,0.6882730468371927,4,1.0370397922594328,10,-1.1899273174071636,10,0.6091578893979991,6,-0.23937269153005372,9
GSM806336,IPF,1,GSE32537,0.2920692639559603,11,-0.6353463267028668,7,-0.44767916249526274,4,0.1355750514799396,10,0.29142880562581486,10,-0.6511971977225864,6,-0.34317273993773,9
GSM806338,IPF,1,GSE32537,0.5097964212935641,11,-0.5256382976216488,7,-0.20950212790917547,4,1.2223501391117206,10,0.6158058466070275,10,-0.7117178837716613,6,-0.6699266633332915,9
GSM806339,IPF,1,GSE32537,0.26556349747972113,11,1.5987362322602576,7,0.23463400863241962,4,0.24462495062190528,10,-0.611274836748453,10,-0.14230968364786617,6,0.1842723123679727,9
GSM806340,IPF,1,GSE32537,1.205849106287493,11,-0.052375019615577285,7,0.3231484242207593,4,0.5178235315313103,10,-0.554867763664796,10,-0.16149514993158628,6,0.30693356489644086,9
GSM806342,IPF,1,GSE32537,0.3166582758476793,11,-0.5822736202420461,7,-0.6358183887836346,4,0.7308383828747125,10,0.550585315461181,10,-0.8273873064841378,6,-0.008789116696259293,9
GSM806344,IPF,1,GSE32537,-0.5635630115413217,11,-0.3909541259241958,7,0.6873264333242595,4,0.16266883321905695,10,0.7724014999073108,10,-0.31815286633788514,6,0.032493852949015,9
GSM806346,IPF,1,GSE32537,0.2802651389397151,11,0.29605504554958634,7,0.12806955498954384,4,0.31465007227409436,10,-0.8506845062696957,10,0.8947492330550495,6,0.4000828891443786,9
GSM806349,IPF,1,GSE32537,0.3056684773934735,11,0.39906574454134064,7,-0.17711923084958225,4,0.5087572142035853,10,-0.29688805408891594,10,0.3257178047302849,6,-0.33075783275944093,9
GSM806351,IPF,1,GSE32537,0.309352127442362,11,1.1363747976347756,7,0.23082818056518442,4,0.2448056842065073,10,-0.21595895725408062,10,0.2024978820327479,6,-0.08154362080174214,9
GSM806352,IPF,1,GSE32537,-1.4575855057568161,11,-0.5742797963336643,7,1.407046900422657,4,-0.18188288378005624,10,1.5013796156182684,10,-0.902839537292666,6,-0.7131178027758298,9
GSM806354,IPF,1,GSE32537,-0.11304630258618481,11,-0.9091323495909507,7,-0.9946651093455909,4,0.1340108481158115,10,0.6085176236807316,10,-0.9773146202555938,6,0.19095994911915695,9
GSM806355,IPF,1,GSE32537,-0.34572129662573786,11,-0.34975545416456716,7,0.9173475544176974,4,0.3320962405557776,10,0.8389947305397942,10,-0.8242924077895327,6,-0.1905482730973483,9
GSM806356,IPF,1,GSE32537,-0.985039941777373,11,-0.7373061844230344,7,0.8565999440331495,4,0.719813374359328,10,0.9753646703770258,10,-0.7664319419627894,6,-0.20702508295235325,9
GSM806357,IPF,1,GSE32537,0.7445311551770962,11,0.10812273556848348,7,-0.3191101929808923,4,0.9132914595300358,10,-0.24583240851344673,10,0.16710458949636461,6,0.7115119061586928,9
GSM806358,IPF,1,GSE32537,-1.0768375818830107,11,-0.46393367677288627,7,-0.14043448979875867,4,0.6625359699814075,10,-0.34485547141623113,10,-0.4170577433860372,6,0.14561916520547263,9
