series_id,broad_celltype,gene_symbol,ipf_donors,control_donors,ipf_mean_log1p_norm,control_mean_log1p_norm,ipf_minus_control_log1p_norm,welch_t,p_value,fdr_bh
GSE136831,Lymphoid,COL14A1,32,28,0.05584162787920447,0.07744173391043417,-0.0216001060312297,-0.969400284661977,0.3394537538920333,0.3989175050566024
GSE136831,Endothelial,GPX3,32,27,1.1416161212811669,1.271412779415908,-0.12979665813474117,-0.9572008760485089,0.34351229602096317,0.3989175050566024
GSE135893,Epithelial,SPP1,12,10,0.12495546735454556,0.06013745801956383,0.06481800933498173,0.9242219761426766,0.3686594285870052,0.42132506124229163
GSE136831,Endothelial,COL14A1,32,27,0.06290492309743478,0.07414665448595058,-0.011241731388515794,-0.6132628099614591,0.5435282141842692,0.6114692409573028
GSE136831,Epithelial,GPX3,32,28,0.17085164819444337,0.15436687992371675,0.01648476827072662,0.5880749250816407,0.5600044801709649,0.6203126549586073
GSE135893,Immune,COL14A1,12,10,0.003877646854017685,0.002973766637328022,0.0009038802166896629,0.5802348304467111,0.5695285718750561,0.6213038965909703
GSE135893,Epithelial,GPX3,12,10,0.21537306042705984,0.25132330385162804,-0.03595024342456821,-0.5335861140183616,0.6050319656733452,0.6421734022966926
GSE136831,Myeloid,PTGFRN,32,28,0.06163171324261292,0.06484236106278975,-0.0032106478201768263,-0.518925155182193,0.6064971021690986,0.6421734022966926
GSE135893,Immune,PTGFRN,12,10,0.043349948265003706,0.047539669090010415,-0.00418972082500671,-0.42973803130769445,0.672265380790019,0.7014943103895851
GSE135893,Immune,COL1A1,12,10,0.011958235923323728,0.017180519790232326,-0.005222283866908598,-0.4035614363129867,0.6933190080451505,0.7131281225607261
GSE136831,Lymphoid,PTGFRN,32,28,0.008290177654353578,0.00763344089244781,0.0006567367619057674,0.23275503646398346,0.8168657666449758,0.8283709182878628
GSE135893,Immune,COL3A1,12,10,0.01352566559635876,0.01171359172623505,0.00181207387012371,0.20923583322766803,0.8366601210761917,0.8366601210761917
