gene_set,input_symbol,SYMBOL,ENTREZID,GENENAME
background_gse32537_all_tested_annotated_mrna,AGR2,AGR2,10551,"anterior gradient 2, protein disulphide isomerase family member"
background_gse32537_all_tested_annotated_mrna,AGR3,AGR3,155465,"anterior gradient 3, protein disulphide isomerase family member"
background_gse32537_all_tested_annotated_mrna,AGRN,AGRN,375790,agrin
background_gse32537_all_tested_annotated_mrna,AGT,AGT,183,angiotensinogen
background_gse32537_all_tested_annotated_mrna,AGTPBP1,AGTPBP1,23287,ATP/GTP binding carboxypeptidase 1
background_gse32537_all_tested_annotated_mrna,AGTR1,AGTR1,185,angiotensin II receptor type 1
background_gse32537_all_tested_annotated_mrna,AGTR2,AGTR2,186,angiotensin II receptor type 2
background_gse32537_all_tested_annotated_mrna,AGTRAP,AGTRAP,57085,angiotensin II receptor associated protein
background_gse32537_all_tested_annotated_mrna,AHCTF1,AHCTF1,25909,AT-hook containing transcription factor 1
background_gse32537_all_tested_annotated_mrna,AHCY,AHCY,191,adenosylhomocysteinase
background_gse32537_all_tested_annotated_mrna,AHCYL2,AHCYL2,23382,adenosylhomocysteinase like 2
background_gse32537_all_tested_annotated_mrna,AHI1,AHI1,54806,Abelson helper integration site 1
background_gse32537_all_tested_annotated_mrna,AHNAK2,AHNAK2,113146,AHNAK nucleoprotein 2
background_gse32537_all_tested_annotated_mrna,AHSA1,AHSA1,10598,activator of HSP90 ATPase activity 1
background_gse32537_all_tested_annotated_mrna,AHSA2,AHSA2,,
background_gse32537_all_tested_annotated_mrna,AIDA,AIDA,64853,"axin interactor, dorsalization associated"
background_gse32537_all_tested_annotated_mrna,AIF1,AIF1,199,allograft inflammatory factor 1
background_gse32537_all_tested_annotated_mrna,AIF1L,AIF1L,83543,allograft inflammatory factor 1 like
background_gse32537_all_tested_annotated_mrna,AIG1,AIG1,51390,androgen induced 1
background_gse32537_all_tested_annotated_mrna,AIM1,AIM1,,
background_gse32537_all_tested_annotated_mrna,AIM2,AIM2,9447,absent in melanoma 2
background_gse32537_all_tested_annotated_mrna,AIMP2,AIMP2,7965,aminoacyl tRNA synthetase complex interacting multifunctional protein 2
background_gse32537_all_tested_annotated_mrna,AIP,AIP,9049,AHR interacting HSP90 co-chaperone
background_gse32537_all_tested_annotated_mrna,AJAP1,AJAP1,55966,adherens junctions associated protein 1
background_gse32537_all_tested_annotated_mrna,AJUBA,AJUBA,84962,ajuba LIM protein
background_gse32537_all_tested_annotated_mrna,AK4,AK4,205,adenylate kinase 4
background_gse32537_all_tested_annotated_mrna,AK7,AK7,122481,adenylate kinase 7
background_gse32537_all_tested_annotated_mrna,AK8,AK8,158067,adenylate kinase 8
background_gse32537_all_tested_annotated_mrna,AK9,AK9,221264,adenylate kinase 9
background_gse32537_all_tested_annotated_mrna,AKAP1,AKAP1,8165,A-kinase anchoring protein 1
background_gse32537_all_tested_annotated_mrna,AKAP11,AKAP11,11215,A-kinase anchoring protein 11
background_gse32537_all_tested_annotated_mrna,AKAP12,AKAP12,9590,A-kinase anchoring protein 12
background_gse32537_all_tested_annotated_mrna,AKAP13,AKAP13,11214,A-kinase anchoring protein 13
background_gse32537_all_tested_annotated_mrna,AKAP14,AKAP14,158798,A-kinase anchoring protein 14
background_gse32537_all_tested_annotated_mrna,AKAP2,AKAP2,,
background_gse32537_all_tested_annotated_mrna,AKAP3,AKAP3,10566,A-kinase anchoring protein 3
background_gse32537_all_tested_annotated_mrna,AKAP5,AKAP5,9495,A-kinase anchoring protein 5
background_gse32537_all_tested_annotated_mrna,AKAP6,AKAP6,9472,A-kinase anchoring protein 6
background_gse32537_all_tested_annotated_mrna,AKAP7,AKAP7,9465,A-kinase anchoring protein 7
background_gse32537_all_tested_annotated_mrna,AKAP9,AKAP9,10142,A-kinase anchoring protein 9
background_gse32537_all_tested_annotated_mrna,AKIRIN2,AKIRIN2,55122,akirin 2
background_gse32537_all_tested_annotated_mrna,AKNA,AKNA,80709,AT-hook transcription factor
background_gse32537_all_tested_annotated_mrna,AKR1A1,AKR1A1,10327,aldo-keto reductase family 1 member A1
background_gse32537_all_tested_annotated_mrna,AKR1B1,AKR1B1,231,aldo-keto reductase family 1 member B
background_gse32537_all_tested_annotated_mrna,AKR1B10,AKR1B10,57016,aldo-keto reductase family 1 member B10
background_gse32537_all_tested_annotated_mrna,AKR1C1,AKR1C1,1645,aldo-keto reductase family 1 member C1
background_gse32537_all_tested_annotated_mrna,AKR1C2,AKR1C2,1646,aldo-keto reductase family 1 member C2
background_gse32537_all_tested_annotated_mrna,AKR1C3,AKR1C3,8644,aldo-keto reductase family 1 member C3
background_gse32537_all_tested_annotated_mrna,AKR1E2,AKR1E2,83592,aldo-keto reductase family 1 member E2
background_gse32537_all_tested_annotated_mrna,AKT3,AKT3,10000,AKT serine/threonine kinase 3
background_gse32537_all_tested_annotated_mrna,AKTIP,AKTIP,64400,AKT interacting protein
background_gse32537_all_tested_annotated_mrna,ALAS1,ALAS1,211,5'-aminolevulinate synthase 1
background_gse32537_all_tested_annotated_mrna,ALAS2,ALAS2,212,5'-aminolevulinate synthase 2
background_gse32537_all_tested_annotated_mrna,ALCAM,ALCAM,214,activated leukocyte cell adhesion molecule
background_gse32537_all_tested_annotated_mrna,ALDH18A1,ALDH18A1,5832,aldehyde dehydrogenase 18 family member A1
background_gse32537_all_tested_annotated_mrna,ALDH1A1,ALDH1A1,216,aldehyde dehydrogenase 1 family member A1
background_gse32537_all_tested_annotated_mrna,ALDH1A2,ALDH1A2,8854,aldehyde dehydrogenase 1 family member A2
background_gse32537_all_tested_annotated_mrna,ALDH1A3,ALDH1A3,220,aldehyde dehydrogenase 1 family member A3
background_gse32537_all_tested_annotated_mrna,ALDH1B1,ALDH1B1,219,aldehyde dehydrogenase 1 family member B1
background_gse32537_all_tested_annotated_mrna,ALDH1L1,ALDH1L1,10840,aldehyde dehydrogenase 1 family member L1
background_gse32537_all_tested_annotated_mrna,ALDH1L2,ALDH1L2,160428,aldehyde dehydrogenase 1 family member L2
background_gse32537_all_tested_annotated_mrna,ALDH2,ALDH2,217,aldehyde dehydrogenase 2 family member
background_gse32537_all_tested_annotated_mrna,ALDH3A1,ALDH3A1,218,aldehyde dehydrogenase 3 family member A1
background_gse32537_all_tested_annotated_mrna,ALDH3B1,ALDH3B1,221,aldehyde dehydrogenase 3 family member B1
background_gse32537_all_tested_annotated_mrna,ALDH3B2,ALDH3B2,222,aldehyde dehydrogenase 3 family member B2
background_gse32537_all_tested_annotated_mrna,ALDH5A1,ALDH5A1,7915,aldehyde dehydrogenase 5 family member A1
