roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,model,fold_id,best_params,selected_feature_count
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,8,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,9,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,elastic_net,10,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,11,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9791666666666667,0.992816091954023,0.9117647058823529,0.8791666666666667,0.9583333333333334,0.8,0.9387755102040817,23,8,2,1,elastic_net,12,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,13,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.5, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,14,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,15,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,16,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,17,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,18,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,19,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,20,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.5, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,21,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,22,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,23,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,24,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,25,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,26,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,27,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.5, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,28,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,29,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,30,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
