data_type,standard_feature_id,GSE32537_logFC,GSE32537_adj_p,GSE32537_direction,GSE32537_fdr_sig,GSE110147_logFC,GSE110147_adj_p,GSE110147_direction,GSE110147_fdr_sig,GSE150910_logFC,GSE150910_adj_p,GSE150910_direction,GSE150910_fdr_sig,GSE53845_logFC,GSE53845_adj_p,GSE53845_direction,GSE53845_fdr_sig,GSE92592_logFC,GSE92592_adj_p,GSE92592_direction,GSE92592_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig
bulk mRNA,C20orf26,1.29798146722689,3.01701891371558e-12,up,True,0.874760454545456,0.0263883038822648,up,False,,,missing,False,0.845210000000001,0.190571275287344,up,False,1.63392995115474,0.0054929671263913,up,True,3,3,1,False,False,,,,,,,,,,,,
bulk mRNA,C20orf85,1.8507116487395,1.89037256037694e-15,up,True,0.153714545454547,0.795964020431422,up,False,2.44018081812834,5.74514951265326e-10,up,True,1.3195125,0.226287278565497,up,False,1.69563957285148,0.0319799535329325,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,C6,1.46683573277311,1.88197807814472e-12,up,True,2.49284409090909,2.63664454958632e-08,up,True,1.95408030756421,1.45698811364318e-12,up,True,0.47399,0.506660939492473,up,False,1.53960682206496,0.0072188759870049,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,C6orf118,1.34390359663866,2.59175738797779e-12,up,True,1.77740454545455,0.0001516170629864,up,True,2.41114742061931,9.774907984892933e-09,up,True,0.773212500000001,0.289314057460174,up,False,1.59105866742616,0.0279543861661016,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,C6orf165,1.53520159831933,7.9546617612123e-14,up,True,2.09011454545455,2.72272260640437e-05,up,True,,,missing,False,1.1054325,0.209663826909093,up,False,1.48985367059602,0.0154063633564751,up,True,3,3,2,True,True,,,,,,,,,,,,
bulk mRNA,C7orf63,1.18988088067227,5.60069990941498e-20,up,True,1.90133181818182,1.3446889350088198e-11,up,True,,,missing,False,0.751820000000001,0.001088113585787,up,False,0.279496503961043,0.235388809709924,up,False,3,3,1,False,False,,,,,,,,,,,,
bulk mRNA,C9orf117,1.2187504302521,1.1549779282980198e-11,up,True,0.576883181818183,0.0949319668290008,up,False,,,missing,False,0.723120000000001,0.36085458083183,up,False,1.11407616819092,0.0386470083934399,up,True,3,3,1,False,False,,,,,,,,,,,,
bulk mRNA,C9orf135,1.42271822857143,1.29869675813839e-12,up,True,1.15743136363637,0.0033826646376783,up,True,2.54437565976102,8.375744087121181e-09,up,True,0.5099475,0.203964726401983,up,False,1.79838250912541,0.0168076616785494,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,CACNA2D2,-1.01735182689076,1.3491462308002002e-10,down,True,-2.325935,5.83025079539595e-10,down,True,-1.66578849589572,7.220179675675571e-17,down,True,-1.556545,0.0003149447318602,down,True,-1.29947383024397,3.11978160189409e-06,down,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CAP2,1.00960312773109,1.12228578313798e-22,up,True,0.29723,0.0351065129254513,up,False,0.54715853719993,2.52051540122937e-07,up,False,0.3839125,0.0417771129803328,up,False,0.477284035612016,0.0264415764308494,up,False,4,4,0,False,False,,,,,,,,,,,,
bulk mRNA,CAPN13,1.31100314453782,8.853560631651159e-12,up,True,0.848250454545455,0.0542652600373942,up,False,1.43952435379575,1.39546038024102e-12,up,True,1.26131,0.0469994507193636,up,True,1.7746591620047,2.57134809059955e-05,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,CAPS,1.24253897478992,8.86844351590029e-13,up,True,-0.0105981818181815,0.975523396022818,down,False,1.87194229914517,1.30772825871027e-08,up,True,1.1568125,0.212486883687412,up,False,1.39185851466488,0.0118641856233168,up,True,4,3,2,True,True,,,,,,,,,,,,
bulk mRNA,CAPS2,1.09901413109244,9.971794634800211e-17,up,True,1.05164090909091,3.77021220340079e-05,up,True,0.21878007519083,0.0183510184226882,up,False,0.468305,0.348504871227546,up,False,0.006627650022824,0.987981061817608,up,False,4,4,1,False,False,,,,,,,,,,,,
bulk mRNA,CAPSL,1.28539150756303,1.12064560261941e-12,up,True,1.42214954545455,0.0004343870228744,up,True,2.51299064128736,4.52687771162427e-09,up,True,1.0734675,0.246725791064736,up,False,1.7364454540345,0.0292591064037908,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,CASC1,1.28516437310925,2.32738122392211e-13,up,True,2.21445818181818,7.0570621749775e-06,up,True,1.2402630176057,2.95146001681068e-06,up,True,0.571545,0.333548916647364,up,False,1.02235057314329,0.0407882240538906,up,True,4,4,3,True,True,,,,,,,,,,,,
