series_id,sample_accession,sample_id,data_type,original_disease_label,included_excluded,final_analysis_label,reason_for_exclusion_or_inclusion,source_field_used_for_annotation,annotation_file,annotation_sheet
GSE110147,GSM2978790,GSM2978790,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978791,GSM2978791,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978792,GSM2978792,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978793,GSM2978793,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978794,GSM2978794,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978795,GSM2978795,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978796,GSM2978796,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978797,GSM2978797,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978798,GSM2978798,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978799,GSM2978799,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
